,true,pred
417,0.003374,0.005544301
418,0.003444,0.005412234
419,0.003421,0.005328484
420,0.003305,0.0053502014
421,0.003259,0.005293064
422,0.002979,0.0052058324
423,0.003056,0.00508326
424,0.00297,0.004912753
425,0.002928,0.004931067
426,0.002829,0.0048600077
427,0.002876,0.0048060697
428,0.002783,0.004747927
429,0.002651,0.004752448
430,0.002421,0.0046587484
431,0.002579,0.004501286
432,0.002417,0.0043340633
433,0.002381,0.0044359583
434,0.002407,0.0042887265
435,0.002331,0.004274359
436,0.002232,0.00428214
437,0.002281,0.004215802
438,0.002268,0.004113977
439,0.002498,0.004166986
440,0.002397,0.004172283
441,0.002457,0.004386074
442,0.002344,0.00428678
443,0.002408,0.0043272963
444,0.002332,0.0042243255
445,0.002376,0.00428815
446,0.00243,0.004214963
447,0.00242,0.004263037
448,0.002427,0.004308342
449,0.002477,0.004303918
450,0.002643,0.0043287473
451,0.00263,0.004407021
452,0.003323,0.004565463
453,0.004823,0.0052541
454,0.006458,0.0068465774
455,0.005067,0.009536803
456,0.005324,0.009077239
457,0.005284,0.00798501
458,0.004953,0.007667058
459,0.005038,0.0075629456
460,0.005306,0.007307614
461,0.005717,0.0076140724
462,0.005859,0.00803881
463,0.006945,0.008119568
464,0.006348,0.009244845
465,0.0065,0.009295348
466,0.006582,0.008764749
467,0.006207,0.008889132
468,0.006249,0.008721918
469,0.006583,0.008392088
470,0.006278,0.008701798
471,0.00597,0.008642527
472,0.00563,0.008360999
473,0.005714,0.008061627
474,0.005713,0.007851413
475,0.005806,0.007914375
476,0.005969,0.007884513
477,0.005718,0.008024785
478,0.005747,0.007967718
479,0.005776,0.0078783855
480,0.00589,0.007844064
481,0.005894,0.007964804
482,0.005887,0.008031417
483,0.005933,0.008010143
484,0.005949,0.008062296
485,0.005825,0.008106337
486,0.005736,0.008015586
487,0.005674,0.007903941
488,0.005672,0.007845596
489,0.005587,0.007768836
490,0.005629,0.0077897883
491,0.005643,0.007684882
492,0.005666,0.00773759
493,0.005627,0.007744864
494,0.005026,0.0077550057
495,0.005307,0.007443371
496,0.005265,0.00726919
497,0.00527,0.0073172254
498,0.005376,0.007303615
499,0.005146,0.007483867
500,0.004729,0.007312158
501,0.00448,0.0072163274
502,0.004597,0.006899627
503,0.004642,0.0067158863
504,0.004567,0.0066750348
505,0.004446,0.0066306246
506,0.004199,0.0065392884
507,0.00396,0.00642569
508,0.003745,0.0062955776
509,0.004111,0.0059616826
510,0.004218,0.006059627
511,0.00405,0.006418545
512,0.003856,0.00617718
513,0.003897,0.006027909
514,0.003804,0.0059174523
515,0.003784,0.0059831897
516,0.003792,0.0058246925
517,0.003758,0.0058316113
518,0.003727,0.0057521723
519,0.00365,0.005748473
520,0.003701,0.005757137
521,0.003632,0.0058238646
522,0.003362,0.005700145
523,0.003128,0.0056398744
524,0.003292,0.0055169594
525,0.00317,0.0053516086
526,0.003084,0.005270535
527,0.002967,0.0051813545
528,0.00277,0.005023162
529,0.002851,0.005016152
530,0.002761,0.005102732
531,0.002602,0.004987657
532,0.002638,0.004739063
533,0.002435,0.0045874496
534,0.002329,0.0047485116
535,0.002476,0.00461882
536,0.002383,0.0045977845
537,0.002386,0.004535811
538,0.002256,0.0043754783
539,0.002261,0.004359953
540,0.002127,0.0042368444
541,0.002078,0.0042608455
542,0.002235,0.0041161356
543,0.002226,0.004119615
544,0.002185,0.004198215
545,0.00223,0.0041635567
546,0.002211,0.004121243
547,0.002157,0.004159759
548,0.002202,0.00413238
549,0.002197,0.0041075405
550,0.002111,0.0041469233
551,0.002123,0.004176002
552,0.002105,0.0040824423
553,0.002092,0.0040381122
554,0.002063,0.0040127905
555,0.002087,0.00397388
556,0.002081,0.0039427867
557,0.002056,0.0039943513
558,0.002074,0.0039764736
559,0.002064,0.0039618043
560,0.002109,0.0039423658
561,0.002531,0.003995667
562,0.002518,0.004232575
563,0.002629,0.004651773
564,0.002653,0.004663516
565,0.002466,0.004667528
566,0.002446,0.004678305
567,0.00249,0.0044798534
568,0.002507,0.0044476585
569,0.002379,0.0045314394
570,0.002393,0.004435461
571,0.002299,0.0043155914
572,0.002377,0.004322308
573,0.002313,0.0042361068
574,0.002333,0.0042761182
575,0.002327,0.004204008
576,0.002347,0.004262802
577,0.00235,0.0042083254
578,0.002293,0.0042267144
579,0.002243,0.0042641014
580,0.002249,0.004207191
581,0.002257,0.0041369935
582,0.00223,0.004154927
583,0.002223,0.0041367533
584,0.002215,0.0041470584
585,0.002079,0.004133082
586,0.002067,0.0041771857
587,0.002084,0.003993499
588,0.002053,0.003951315
589,0.00208,0.004009747
590,0.002042,0.003931402
591,0.002066,0.003970951
592,0.002062,0.0039151097
593,0.002042,0.0039512366
594,0.002094,0.0039416095
595,0.002028,0.004023345
596,0.002032,0.004006597
597,0.002021,0.003940477
598,0.001996,0.0039916774
599,0.002006,0.0039388603
600,0.002005,0.0038795462
601,0.00201,0.0038711643
602,0.001994,0.0038760183
603,0.001891,0.0038772272
604,0.001878,0.0039323317
605,0.001922,0.0037750592
606,0.001893,0.0037660506
607,0.001909,0.0038285954
608,0.001927,0.003798782
609,0.00188,0.003787024
610,0.001873,0.003833172
611,0.001855,0.003733202
612,0.001805,0.0037408909
613,0.001818,0.0037285248
614,0.001937,0.0036592977
615,0.001908,0.0036887266
616,0.001899,0.0038006129
617,0.001861,0.0037683444
618,0.001878,0.003771725
619,0.001888,0.0037156967
620,0.00189,0.0037548384
621,0.00189,0.0037611583
622,0.001932,0.003758978
623,0.002026,0.0037719319
624,0.002059,0.0039402395
625,0.002064,0.0039687213
626,0.002052,0.0040008714
627,0.002021,0.003965239
628,0.002044,0.0039272243
629,0.00207,0.0039132927
630,0.001916,0.0039281053
631,0.001988,0.0040025944
632,0.001957,0.0037736036
633,0.001951,0.003860685
634,0.001927,0.0038461024
635,0.001964,0.003816477
636,0.001979,0.0038014967
637,0.001959,0.0038520386
638,0.001908,0.0038318587
639,0.001947,0.003805765
640,0.001939,0.0037993062
641,0.001951,0.0038210573
642,0.001949,0.0037964508
643,0.001978,0.0038207425
644,0.001959,0.003824478
645,0.001929,0.0038479893
646,0.001995,0.0038593635
647,0.002007,0.0037893755
648,0.002023,0.003845797
649,0.002035,0.0038757976
650,0.002053,0.0039037624
651,0.002051,0.0039123762
652,0.002061,0.0039393054
653,0.002051,0.003923054
654,0.002043,0.003917576
655,0.002017,0.0039008064
656,0.002025,0.0039134463
657,0.002023,0.0038571255
658,0.002017,0.0038770195
659,0.002023,0.0038763639
660,0.002025,0.0038942555
661,0.002068,0.0039168065
662,0.002058,0.0039018942
663,0.00209,0.0039656935
664,0.002084,0.0039376942
665,0.002076,0.0039546257
666,0.002453,0.0039709657
667,0.002796,0.003972565
668,0.003143,0.0044032317
669,0.003652,0.004786952
670,0.003551,0.0066933567
671,0.003367,0.005868815
672,0.00341,0.0056130392
