,Price,Change %,Volx1M
274,0.005466,3.87,298.53
275,0.005261,-3.75,207.74
276,0.004606,-12.45,446.81
277,0.00406,-11.85,508.64
278,0.003995,-1.6,557.51
279,0.004151,3.9,416.08
280,0.003989,-3.91,312.14
281,0.004159,4.28,457.17
282,0.00404,-2.88,288.11
283,0.003971,-1.71,224.99
284,0.003599,-9.36,336.98
285,0.003541,-1.62,537.9
286,0.003523,-0.5,338.28
287,0.003334,-5.37,303.57
288,0.003124,-6.29,472.84
289,0.003486,11.58,474.29
290,0.003657,4.9,363.39
291,0.003641,-0.42,344.31
292,0.003597,-1.23,306.87
293,0.003566,-0.85,268.76
294,0.003517,-1.38,273.4
295,0.00347,-1.34,232.57
296,0.003283,-5.39,253.17
297,0.003154,-3.91,257.78
298,0.003162,0.25,236.87
299,0.002872,-9.17,333.2
300,0.002765,-3.75,369.79
301,0.0028,1.28,236.64
302,0.002707,-3.31,189.05
303,0.002801,3.45,195.95
304,0.003011,7.52,275.98
305,0.002769,-8.05,263.21
306,0.002803,1.21,226.26
307,0.002718,-3.02,239.68
308,0.002817,3.63,215.81
309,0.002859,1.5,201.54
310,0.002796,-2.2,262.48
311,0.003086,10.37,530.06
312,0.003398,10.12,799.54
313,0.00388,14.19,767.89
314,0.003962,2.11,648.65
315,0.004153,4.81,517.26
316,0.004634,11.59,501.77
317,0.004561,-1.57,803.3
318,0.004705,3.14,407.27
319,0.005442,15.67,460.89
320,0.005969,9.68,583.3
321,0.005906,-1.05,656.82
322,0.005381,-8.89,807.39
323,0.005524,2.65,631.36
324,0.005604,1.46,352.08
325,0.005767,2.9,464.73
326,0.00507,-12.08,573.17
327,0.005524,8.95,498.83
328,0.005379,-2.63,447.9
329,0.005507,2.39,384.05
330,0.005451,-1.01,494.33
331,0.005232,-4.03,341.18
332,0.005116,-2.22,270.39
333,0.005331,4.2,319.46
334,0.005489,2.96,355.68
335,0.005248,-4.38,272.8
336,0.005232,-0.32,277.99
337,0.004939,-5.59,291.92
338,0.004974,0.71,275.8
339,0.005255,5.65,290.42
340,0.005023,-4.41,205.85
341,0.004791,-4.62,161.14
342,0.004247,-11.35,240.56
343,0.004274,0.63,213.03
344,0.004472,4.64,162.5
345,0.004448,-0.55,153.25
346,0.004532,1.89,204.5
347,0.004378,-3.4,156.98
348,0.004189,-4.32,162.58
349,0.004242,1.26,154.14
350,0.004233,-0.2,145.74
351,0.004359,2.96,186.2
352,0.004217,-3.25,183.54
353,0.003874,-8.13,195.92
354,0.003437,-11.29,253.06
355,0.003568,3.81,248.36
356,0.0035,-1.89,207.72
357,0.00347,-0.88,173.97
358,0.00341,-1.73,171.79
359,0.003219,-5.59,205.92
360,0.003461,7.5,235.11
361,0.003396,-1.88,122.08
362,0.003432,1.07,162.13
363,0.003441,0.25,197.28
364,0.003583,4.14,207.56
365,0.003689,2.97,297.8
366,0.003542,-4.01,220.81
367,0.003628,2.45,165.14
368,0.003727,2.73,206.38
369,0.003714,-0.36,154.07
370,0.003664,-1.35,141.23
371,0.003572,-2.5,133.66
372,0.003136,-12.2,234.12
373,0.003235,3.15,166.95
374,0.003091,-4.44,146.34
375,0.002792,-9.68,164.75
376,0.002968,6.29,183.9
377,0.00287,-3.29,156.68
378,0.002907,1.29,174.44
379,0.002887,-0.7,151.63
380,0.002993,3.69,165.58
381,0.003017,0.79,155.51
382,0.002993,-0.81,117.77
383,0.002982,-0.37,173.42
384,0.002606,-12.58,244.67
385,0.002654,1.83,168.58
