,Date
396,"Jul 04, 2018"
397,"Jul 05, 2018"
398,"Jul 06, 2018"
399,"Jul 07, 2018"
400,"Jul 08, 2018"
401,"Jul 09, 2018"
402,"Jul 10, 2018"
403,"Jul 11, 2018"
404,"Jul 12, 2018"
405,"Jul 13, 2018"
406,"Jul 14, 2018"
407,"Jul 15, 2018"
408,"Jul 16, 2018"
409,"Jul 17, 2018"
410,"Jul 18, 2018"
411,"Jul 19, 2018"
412,"Jul 20, 2018"
413,"Jul 21, 2018"
414,"Jul 22, 2018"
415,"Jul 23, 2018"
416,"Jul 24, 2018"
417,"Jul 25, 2018"
418,"Jul 26, 2018"
419,"Jul 27, 2018"
420,"Jul 28, 2018"
421,"Jul 29, 2018"
422,"Jul 30, 2018"
423,"Jul 31, 2018"
424,"Aug 01, 2018"
425,"Aug 02, 2018"
426,"Aug 03, 2018"
427,"Aug 04, 2018"
428,"Aug 05, 2018"
429,"Aug 06, 2018"
430,"Aug 07, 2018"
431,"Aug 08, 2018"
432,"Aug 09, 2018"
433,"Aug 10, 2018"
434,"Aug 11, 2018"
435,"Aug 12, 2018"
436,"Aug 13, 2018"
437,"Aug 14, 2018"
438,"Aug 15, 2018"
439,"Aug 16, 2018"
440,"Aug 17, 2018"
441,"Aug 18, 2018"
442,"Aug 19, 2018"
443,"Aug 20, 2018"
444,"Aug 21, 2018"
445,"Aug 22, 2018"
446,"Aug 23, 2018"
447,"Aug 24, 2018"
448,"Aug 25, 2018"
449,"Aug 26, 2018"
450,"Aug 27, 2018"
451,"Aug 28, 2018"
452,"Aug 29, 2018"
453,"Aug 30, 2018"
454,"Aug 31, 2018"
455,"Sep 01, 2018"
456,"Sep 02, 2018"
457,"Sep 03, 2018"
458,"Sep 04, 2018"
459,"Sep 05, 2018"
460,"Sep 06, 2018"
461,"Sep 07, 2018"
462,"Sep 08, 2018"
463,"Sep 09, 2018"
464,"Sep 10, 2018"
465,"Sep 11, 2018"
466,"Sep 12, 2018"
467,"Sep 13, 2018"
468,"Sep 14, 2018"
469,"Sep 15, 2018"
470,"Sep 16, 2018"
471,"Sep 17, 2018"
472,"Sep 18, 2018"
473,"Sep 19, 2018"
474,"Sep 20, 2018"
475,"Sep 21, 2018"
476,"Sep 22, 2018"
477,"Sep 23, 2018"
478,"Sep 24, 2018"
479,"Sep 25, 2018"
480,"Sep 26, 2018"
481,"Sep 27, 2018"
482,"Sep 28, 2018"
483,"Sep 29, 2018"
484,"Sep 30, 2018"
485,"Oct 01, 2018"
486,"Oct 02, 2018"
487,"Oct 03, 2018"
488,"Oct 04, 2018"
